Pregunta,Casi siempre,Frecuentemente,Algunas veces,Casi nunca,No responde
Me siento bien,40,38,10,7,5
Me canso rápidamente,23,15,30,32,0
Siento ganas de llorar,10,18,26,44,2
Quisiera ser tan feliz como otros parecen serlo,32,7,29,25,7
Pierdo oportunidades por no poder decidirme rápidamente,10,13,35,42,0
Siento que las dificultades se me amontonan a punto de no poder superarlas,5,23,45,27,0
Me preocupo demasiado por cosas sin importancia,13,25,32,25,5
Tomo las cosas muy a pecho,15,18,27,40,0
Me falta confianza en mí mismo,0,35,23,42,0
Me siento seguro,40,28,5,27,0
Procuro evitar enfrentamientos y crisis a dificultades,33,22,30,15,0
Me siento melancólico,20,20,37,20,3
Me siento satisfecho,23,40,17,15,5
Algunas ideas poco importantes pasan por mi mente y me molestan,15,18,35,32,0
Me afectan tanto los desengaños que no me los puedo quitar de la cabeza,28,10,20,32,10
Soy una persona estable,38,27,12,10,13
Cuando pienso en mis preocupaciones actuales me pongo tenso y alterado,10,13,47,22,8
Me enojo con mucha facilidad,10,18,35,32,5
En las noches me cuesta mucho trabajo dormir,18,15,17,47,3
Me sudan las manos,13,10,27,47,3
Me canso mucho,8,13,46,31,2
Casi todo el tiempo estoy preocupado,8,13,46,31,2
